frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
111,3,1469817,291738,753525,28681,5271,276267,3878,53081,324982,50827,23625,270229,30781,7,604026,582190,14350
112,3,1673739,374248,1045257,28604,5546,269188,94171,75631,499539,48247,116134,273890,30712,9,767779,739986,18450
113,3,2050810,558896,1151750,27814,96257,364053,92352,52770,822251,47984,23673,174035,31037,14,1208820,1164554,28701
114,3,1712546,385912,1253268,26305,5661,279897,3555,234095,369313,48627,116614,454170,28372,11,956178,917894,22550
115,2,1576602,390103,1122769,124088,5689,375689,3598,52977,688745,56475,23786,175220,125566,8,691443,665233,16399
116,2,1604346,110380,1335837,27700,5501,96367,3282,148086,718423,242629,116425,80493,29781,9,775817,747917,18451
117,2,1061585,110130,878759,31713,5573,96026,3824,52310,546885,47977,23456,174904,33227,3,266655,257313,6150
118,2,1676297,391881,1117081,26684,5555,286866,94099,53010,698781,47918,23716,264886,28770,10,859687,826639,20500
119,3,953772,112162,775712,29890,5690,98461,3262,149532,353513,138228,24071,78413,31955,2,177028,170761,4100
120,3,1082162,106183,902424,27583,5638,92786,2956,331183,304744,41150,114740,80913,29694,5,431781,415255,10250
121,2,1531559,284339,1090000,29139,5616,179866,93229,148090,672045,134348,25387,77887,31208,8,692946,668135,16400
122,2,1626074,102039,1457960,28007,5501,87265,3503,146801,851787,131468,117032,180800,30072,10,865329,833312,20500
123,2,1663505,102126,1498555,31227,5615,86902,3673,148862,957192,61984,24624,272586,33307,10,869228,838216,20499
124,2,1254314,103914,988239,27175,5351,89274,3496,398099,383495,41118,32955,103859,28713,5,430036,414441,10251
125,2,1177610,197723,916594,39305,5605,182604,3608,148621,487152,41351,23449,173522,41385,4,349358,336967,8200
126,2,1266589,196001,1004110,27350,5693,181010,3554,148252,682536,40480,23767,79594,29481,6,526070,506320,12300
127,2,1567784,299138,1203813,29136,5475,284976,3514,64523,774631,43183,23310,265907,31224,9,773556,745712,18450
128,3,1136994,138242,931919,28722,5607,123805,3661,148886,306069,41111,23235,381788,30830,4,355800,343296,8201
129,3,1491201,385938,1041757,28157,5531,370576,3665,52654,635212,127481,24016,172130,30264,8,697093,671096,16400
130,2,1669663,589195,826952,28463,5548,573485,4345,54210,397330,34301,23055,286417,31639,10,861843,830695,20505
131,2,1100258,113184,920528,29386,5710,98668,3382,148713,605277,34912,22945,76542,31078,5,441382,424654,10249
132,3,1299530,304525,923404,25882,5691,289365,3016,245172,416825,34760,23026,174631,27961,7,604248,582327,14351
133,2,1492479,129827,1297862,31424,5764,115622,3418,52828,878773,35232,33036,264469,33524,7,611525,588609,14350
134,2,1855092,302029,1386855,120008,5716,287412,3925,389611,600774,56292,33980,182998,122088,12,1033836,996603,24599
135,2,1471050,111859,1295614,27779,5646,97697,3524,52793,861053,34866,134079,181853,30970,7,610524,587755,14350
136,3,2067004,112660,1887204,205032,5585,98808,2995,318791,637657,32927,427278,262415,207112,10,860638,830695,20501
137,4,2147911,588335,1487015,29487,5161,393898,94631,55017,880636,215930,40263,263597,31572,15,1291403,1242603,30748
138,3,2698829,701925,1839693,118591,5093,687220,3746,147565,589135,573859,137891,269465,120691,19,1638089,1579188,38948
139,4,1574390,115741,1273799,29832,5617,101450,2780,148202,761555,127958,34832,169350,31902,8,695519,669687,16399
140,3,2161079,495630,1509982,53161,5575,480982,3139,54244,476109,126265,33643,763368,55241,15,1292250,1245756,30750
141,3,2021714,584004,1102375,126535,5501,569200,3635,152296,488805,128051,126742,77840,128641,13,1117147,1076880,26651
142,4,2006397,424691,1513404,32422,5501,410331,2898,52997,786857,214805,135015,288194,34487,10,860752,827726,20501
143,3,2023909,301079,1656043,29496,5475,286973,3087,333580,564402,325881,224230,176404,31546,14,1216868,1173655,28700
144,3,1742965,400569,1275217,25820,5404,385910,3618,151019,666849,124192,41087,263112,27899,10,863307,831257,20499
145,3,1860231,142163,1651925,29935,5712,127695,3164,148794,1132523,33691,133767,170113,32006,11,952675,917474,22549
146,3,1783111,317130,1394888,27680,5605,302055,3669,147621,749921,361682,26251,79620,29793,10,862053,829891,20499
147,2,1657975,222974,1281365,28044,5689,117165,93556,52907,470812,216957,114760,395777,30152,11,963082,929038,22550
148,3,1671332,286951,1226496,26528,6956,180362,3326,235964,817516,33062,30278,79982,29694,8,687952,663231,16399
149,4,2037648,341554,1540638,28759,5659,326487,3458,157336,650576,315840,209927,176112,30847,13,1116273,1076059,26648
150,3,2251600,398629,1508732,25432,96037,293006,4088,331123,537731,390321,116002,104558,28625,12,1035314,997080,24602
151,4,2623300,442317,2111015,126438,5268,428068,3514,350445,940622,216190,123498,349678,128507,17,1468160,1415526,35883
152,3,1695568,242462,1291183,28205,5694,137334,94071,148560,749674,34606,32714,294272,30274,8,685867,660938,16400
153,3,1395531,237302,1091419,282717,5722,221944,3619,151427,406681,35697,132756,78398,284314,5,433197,416612,10249
154,3,1607195,161651,1380694,50504,5618,146734,3535,52396,453948,508532,44400,267736,52643,7,603924,582343,14350
155,3,1014226,152550,794837,31133,5806,137632,3134,52806,450072,35934,48130,173528,33233,3,265444,256182,6150
156,3,1576611,434886,1053459,25865,5638,419644,3595,51699,723876,35184,39329,174234,28003,7,603540,580786,14350
157,3,1331120,358273,809355,29887,5627,343450,3701,52809,477167,129944,38461,79035,31939,6,516449,497805,12298
158,3,2224600,353402,1803674,26767,7174,239400,3951,146592,990451,55119,132578,449296,28305,14,1202188,1158717,28698
159,2,2093122,408582,1417330,30394,5790,199575,103973,146839,497664,33197,125768,579252,33544,13,1126158,1084793,26652
160,3,2970822,115645,2790345,28955,5530,101556,2660,51368,1158115,938539,46438,563792,32093,19,1632466,1572477,38949
161,3,2660568,660290,1752109,29973,5618,556805,92503,53654,1136478,226813,133104,169999,32061,20,1710389,1646521,40995
162,4,2109690,299347,1648328,118696,5481,285655,2896,237978,669061,228086,127493,264917,120793,14,1206694,1163185,28700
163,3,2667586,222459,2289490,30077,15811,198353,2720,149647,1469934,230123,24209,383411,32166,17,1463143,1408281,34849
164,4,2432701,760477,1426013,29179,96199,655417,3136,148503,624585,47824,116406,456348,31279,18,1543148,1486441,36898
165,2,2412356,750725,1507473,31034,5648,644349,2430,335752,792525,56781,23668,264565,33113,15,1292898,1243301,30748
166,3,1523840,269322,1098732,28981,27298,232997,3027,149449,460667,256758,25703,173977,31040,7,606417,584676,14348
167,3,1752760,268619,1397264,29411,5696,254677,2656,52908,863671,230351,114337,102304,32643,10,866741,835704,20499
168,3,1344705,313284,964592,25564,5543,300088,2640,404852,256204,145820,24653,104357,27662,6,524066,504290,12300
169,3,1162854,116246,980719,27742,5657,103139,2256,52574,646758,45499,32101,172914,30873,5,432580,416830,10250
170,3,1796326,393413,1240583,25967,5620,378909,2349,149483,259779,231114,115880,455237,28047,11,954042,917818,22549
171,4,1771588,301392,1218019,28797,96325,195959,3034,151810,441759,44536,114614,434383,30917,11,957274,919950,22549
172,2,1078840,398740,608772,27972,5552,292781,2276,53672,371248,50207,22949,80197,29433,5,432043,416490,10250
173,3,2294869,673686,1555986,29771,6717,474845,95359,254866,1121050,46409,23000,78824,31837,12,1030326,993321,24600
174,3,1596796,417369,1111986,26509,5755,382488,22399,51961,801371,33348,115159,80507,29640,8,688665,662956,16399
175,3,2404029,124147,2213272,259965,5755,110611,3048,600539,861154,205092,24704,258692,262018,12,1034477,996255,24601
176,4,2623402,159446,2398373,28936,5640,145094,2701,149309,1569194,229272,24810,393755,32033,16,1385592,1331721,32799
177,4,2138854,263609,1717588,32059,95517,151513,3723,330058,921964,200902,25444,205032,34188,11,954488,919322,22549
178,5,2025204,366205,1591918,30261,6834,260212,3961,51706,1265396,105637,23712,112092,33375,10,858646,827579,20499
179,4,1774795,265284,1441307,30097,5656,251337,3041,236910,354541,216241,114986,486452,32177,9,774643,745706,18449
180,4,2727089,650430,1912051,28642,5026,635469,3589,240697,1003189,309914,25434,302094,30723,19,1635156,1574414,38949
181,4,2370527,520205,1785329,30186,5615,505630,3381,62375,942594,336379,208515,202082,32247,15,1294682,1247048,30750
182,4,1947988,238967,1639078,31034,5669,224764,3132,51755,857148,213785,179100,303144,33093,11,953864,918770,22551
183,3,2085252,540965,1383876,30013,5691,526220,3929,244494,652393,37221,23953,393702,32113,12,1038175,1000893,24599
184,3,2180324,765774,1257529,32114,96540,571000,92239,159291,529846,32806,115845,385479,34262,14,1200940,1155615,28699
185,3,2541507,529086,1676865,30907,5533,514385,3774,241634,672859,306343,31919,388349,33174,15,1292422,1244939,30749
186,4,2465922,554107,1618613,29797,5946,536746,3695,424005,732078,295999,24491,109083,32957,13,1117268,1076009,26649
187,3,2661857,471598,1937862,31052,5799,456573,4070,149990,1040307,200479,117995,395931,33160,17,1467913,1414194,34849
188,4,2672098,396915,2099035,30493,5618,291428,94612,52835,834483,760314,118879,298884,32555,11,949776,914577,22550
189,5,4263177,699011,3137535,32389,5779,594044,93706,240787,1723308,204758,208554,724607,34497,28,2401732,2313943,57400
190,6,3088916,187368,2637747,29656,5628,172602,3223,241216,1482206,375525,209937,296064,31774,18,1561354,1504520,36898
191,6,5505763,795711,4550568,119098,187817,507840,3824,607149,2156528,1082719,256411,325560,121160,34,2930380,2822060,69699
192,7,3508127,251650,2724077,31382,5571,237427,3089,252019,1558168,396740,152009,331631,33510,18,1564576,1505530,36900
193,4,3388846,259502,3040320,30018,5476,244880,3627,243672,1285638,418152,408662,652080,32116,20,1731432,1668276,40999
194,6,3997314,1398994,2413957,30938,5706,1201723,185428,147507,1644821,246726,133106,208710,33087,24,2068678,1991098,49197
195,6,3787188,789239,2664685,206868,5842,681975,3371,331657,1379790,213517,41516,488233,208948,21,1811667,1744181,43049
196,5,2674342,225064,1992297,126697,5619,209384,3646,52607,1440528,217935,39478,110777,128827,11,955835,920691,22550
197,5,3977504,406008,3202234,29823,6455,300684,3767,329477,1385347,906127,46457,502918,31908,25,2151769,2072366,51249
198,4,2949130,409600,1920655,30971,5737,212020,184418,238892,967648,313799,140706,226539,33071,16,1380014,1328346,32796
199,4,2777860,483717,2113890,125708,5796,467927,3569,54143,1036885,738830,46926,109343,127763,13,1129677,1087385,26648
200,4,2147139,210919,1762204,33915,5481,104241,95774,52075,918782,423533,40971,290377,35429,9,780618,752608,18448
201,4,3125485,223009,2563272,119053,5807,208191,3465,53336,855453,1021022,40997,471352,121112,14,1214103,1168746,28701
202,5,3379130,687722,2521779,31391,5512,672768,4058,239927,1311171,737302,40246,158579,33509,18,1552690,1495832,36901
203,4,3271321,414329,2596341,117245,7054,214892,95405,368380,1163610,719290,40196,184458,119363,17,1469601,1413885,34847
204,6,3039857,237229,2720674,34105,5595,223325,2749,52314,1647543,563763,64017,356804,36233,14,1212351,1164511,28699
205,4,3491820,819937,2483855,30324,5676,805357,3020,153083,1149984,533732,353087,260522,32422,20,1722034,1657024,40997
206,4,2770273,692270,1900937,31330,5514,586918,3068,53824,1190578,320504,157691,142779,33459,11,955884,921837,22549
207,4,3101497,663990,2243873,36496,5451,552227,99418,54150,898824,692554,56076,503658,38611,16,1375131,1325397,32799
208,4,2246073,479998,1484525,30518,95773,375159,3410,151114,666861,241495,77984,312421,32596,6,522157,503560,12300
209,4,2815141,566607,1948500,30127,5819,460276,94630,144761,1043672,333237,79810,313794,33226,12,1030922,993694,24599
210,4,3237321,222483,2818663,31292,5421,208129,3248,331381,1400302,326767,419197,305506,34440,18,1543625,1486722,36901
211,6,2245500,213138,1813857,30489,5663,197678,3264,53286,888368,652953,67971,118739,32540,8,692349,666360,16401
212,5,1895660,205055,1579098,31117,5622,191061,3452,148682,743694,249677,68690,334069,33217,5,441539,425981,10251
213,4,2665341,568518,1799194,30355,97118,461801,3659,149608,874820,367205,70418,303659,32453,13,1127083,1084695,26650
214,4,2825571,304361,2060939,30770,5473,289595,3652,52092,1414544,251261,180867,126534,34542,13,1121381,1081064,26650
215,4,2681193,607474,1870973,29325,5671,501207,95284,240230,794958,426874,71822,305210,30809,10,865053,834124,20501
216,4,2550041,229241,2205458,281312,5557,123307,94569,52052,1155611,256109,67664,388410,283430,9,779192,750150,18451
217,4,2919874,580653,2033935,30323,6482,475487,3247,375715,703202,336368,173222,411969,32375,13,1121154,1076614,26650
218,5,2558910,391401,1693880,29810,94569,197293,93594,52265,980942,460803,78373,89604,31893,12,1028174,990086,24599
219,5,2889558,304716,2383810,30564,98378,196972,3759,53372,1243186,795694,79161,179780,32617,15,1300705,1251176,30749
220,5,2131607,211115,1718045,27835,5307,196568,3349,52386,1138230,250966,67276,178231,30956,7,614524,592920,14349
221,5,2103345,117149,1881819,28863,5792,102575,2807,149814,991976,461010,68335,178656,32028,7,609030,587223,14350
222,3,2533881,302719,1952551,217001,5017,196104,95055,52314,825772,705530,66236,81447,219132,11,948012,912897,22547
223,3,3334311,308359,2930649,27882,5697,293010,3116,77617,1467958,345843,439927,569370,29934,18,1556070,1499243,36898
224,4,2903707,144582,2657864,32608,5634,129685,3127,156735,1654205,332987,76100,402122,34682,13,1113327,1073120,26649
225,6,2709171,212804,2288783,28021,5743,198504,3439,53459,1151245,696526,76151,280253,30116,12,1029720,991347,24599
226,5,2052097,221114,1723750,30300,5581,207221,3095,52635,962260,527077,64428,84984,32366,7,608614,585873,14349
227,4,2492467,300199,2086467,26838,95453,103525,3471,149391,1223163,233225,178797,183313,28912,12,1035463,996099,24599
228,4,3649376,125321,3027820,31334,5779,110407,3206,149510,1499729,799097,164909,380025,33429,21,1813362,1745423,43048
229,4,2266913,242087,1565561,28192,7506,205853,3156,149442,763919,330144,189061,101114,30479,9,775814,747915,18449
230,5,2962344,452822,2318435,32346,6956,343033,3837,55446,979727,896861,71995,278870,34459,14,1210601,1164901,28698
231,5,1989730,117465,1772082,124355,5635,103451,3073,53158,622390,822913,61483,84568,127570,6,528179,508476,12301
232,3,2504043,565934,1571902,30154,5559,551089,2880,234514,840060,228425,152581,84083,32239,11,942252,906226,22549
233,3,3560843,123402,3346514,31010,5719,109087,3394,243234,1490627,1116517,164946,298054,33136,18,1556889,1499967,36900
234,5,3232572,392020,2642006,41734,5708,287401,93453,52495,1380388,728144,68697,368477,43805,18,1556628,1497632,36898
235,5,3198649,213469,2795773,29219,5636,198300,3152,442880,1373060,236327,252216,458891,32399,18,1553734,1494877,36900
236,4,4128977,396605,3190766,31260,99157,195520,3465,335735,1330648,695288,333056,460507,33387,26,2236472,2152568,53303
