frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
87,8,3020744,147587,2791418,0,5461,136926,0,52805,692195,1799750,24864,220632,0,3,267186,256011,6747
88,6,1116883,147057,903240,0,5438,136692,0,158448,354146,62259,24717,302498,0,2,179042,171195,4514
89,4,1306497,204747,1034240,0,5408,194152,0,52946,452948,382472,24613,120047,0,4,350710,335833,9008
90,4,1138167,126752,945038,0,5418,116127,0,54978,533100,198278,25187,132364,0,2,173731,166365,4491
91,3,1226580,116279,1042805,0,5461,105595,0,53030,457581,61265,24616,445097,0,3,265671,254369,6748
92,4,1362358,163409,1134830,0,5418,152930,0,54330,319220,657122,25124,77893,0,0,0,0,0
93,4,876166,156876,654939,0,5471,146278,0,52914,315661,63616,24529,196982,0,0,0,0,0
94,4,1096313,155232,867763,0,5405,144640,0,54550,321582,384104,27922,78449,0,0,0,0,0
95,4,867925,157381,544749,0,5428,146774,0,52602,324490,64018,24636,77809,0,0,0,0,0
96,4,748125,156089,527613,0,5438,145555,0,54657,306022,62764,24780,78319,0,0,0,0,0
97,5,697419,126104,506748,0,5493,115504,0,52989,287214,63104,24798,77468,0,0,0,0,0
98,3,663258,136896,460515,0,5481,126277,0,54378,250323,52811,24646,77263,0,0,0,0,0
99,3,663942,140187,458306,0,5428,129622,0,52662,254018,50496,24615,75319,0,0,0,0,0
100,4,654518,133731,452183,0,5489,123102,0,54384,232620,52678,33222,78166,0,0,0,0,0
101,5,649751,142521,442552,0,5376,131998,0,52716,238708,50045,24358,75531,0,0,0,0,0
102,3,684859,182364,439053,0,5449,171768,0,54699,228707,52240,24555,77757,0,0,0,0,0
103,4,733694,189374,474971,0,5448,178969,0,52564,244990,50959,24377,100912,0,0,0,0,0
104,3,614113,109268,441858,0,5459,98873,0,54387,231914,52107,24706,77650,0,0,0,0,0
105,3,617695,116485,435907,0,5579,105749,0,53058,234661,47554,24435,75065,0,0,0,0,0
106,4,621681,108052,442975,0,5551,97423,0,54654,226724,57875,25345,77283,0,0,0,0,0
107,3,620498,114336,439711,0,5461,103877,0,53084,238096,47578,24356,75463,0,0,0,0,0
108,3,585152,98929,417204,0,5406,88496,0,55145,200489,49725,24545,86208,0,0,0,0,0
109,3,590761,105284,420856,0,5495,94752,0,52911,219373,47501,24506,75431,0,0,0,0,0
110,3,587694,97476,421339,0,5523,86892,0,54415,204947,49509,24557,86818,0,0,0,0,0
111,3,574148,105749,403941,0,5461,95267,0,53139,202298,47836,24403,75130,0,0,0,0,0
112,3,596890,98896,429540,0,5501,88242,0,54502,213028,50349,32865,77704,0,0,0,0,0
113,3,594489,112023,417959,0,5556,101331,0,53604,215878,47679,24635,75030,0,0,0,0,0
114,3,585126,105225,410984,0,5364,94649,0,54454,196015,48991,24453,85979,0,0,0,0,0
115,2,581082,115222,401324,0,5494,104588,0,53240,200862,46998,24330,74762,0,0,0,0,0
116,2,587203,106076,411033,0,5471,95495,0,54605,195505,49292,24511,86028,0,0,0,0,0
117,2,584480,115387,404420,0,5408,104757,0,53210,203875,46646,24616,74940,0,0,0,0,0
118,2,595803,108755,416780,0,5491,98189,0,54572,200666,58753,24804,76892,0,0,0,0,0
119,3,582429,118889,397618,0,5461,108324,0,53023,203334,40715,24469,74903,0,0,0,0,0
120,3,578950,103694,406378,0,5737,91285,0,54796,197776,42384,32388,77920,0,0,0,0,0
121,2,576016,108674,402762,0,5504,98159,0,53068,208544,40668,24504,74802,0,0,0,0,0
122,2,591337,96892,424841,0,5458,86085,0,54858,215332,51390,25013,77131,0,0,0,0,0
123,2,566710,106785,395396,0,5513,96169,0,53239,200895,40645,24461,74982,0,0,0,0,0
124,2,580011,99709,411766,0,5458,89251,0,55035,202183,51168,25285,76979,0,0,0,0,0
125,2,586704,109146,413028,0,5493,98609,0,53085,218516,41004,24552,74694,0,0,0,0,0
126,2,580109,96873,414738,0,5385,86352,0,54780,206177,42283,32728,77656,0,0,0,0,0
127,2,591887,114058,413181,0,5461,103527,0,52938,219610,40201,24476,74783,0,0,0,0,0
